"argomento","codice","domanda","opzione_a","opzione_b","opzione_c","opzione_d","corretta","riferimento"
"Gestione ambientale operativa - Principi e responsabilità","AMB_001","Nella gerarchia dei rifiuti, quale opzione ha priorità?","La prevenzione della produzione del rifiuto","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","A","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_002","Chi produce materialmente un rifiuto nell'attività lavorativa è, di regola:","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Il produttore iniziale del rifiuto","D","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_003","La gestione dei rifiuti deve avvenire senza:","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","Pericolo per salute umana e pregiudizio per l'ambiente","È sempre una scelta discrezionale del singolo operatore","C","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_004","Prima di affidare un rifiuto a terzi, l'impresa deve:","Può essere deciso senza conoscere il rifiuto","Verificare titoli e autorizzazioni pertinenti del destinatario e del trasportatore","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","B","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_005","La responsabilità operativa del lavoratore comprende:","Seguire procedure e segnalare anomalie","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","A","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_006","Una procedura aziendale sui rifiuti serve soprattutto a:","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Definire ruoli, flussi, controlli e registrazioni","D","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_007","Quale principio attribuisce i costi della gestione a chi genera il rifiuto?","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Il principio chi inquina paga","Riguarda esclusivamente gli enti pubblici","C","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_008","L'abbandono di rifiuti sul suolo è:","Non richiede controlli o registrazioni","Vietato","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","B","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_009","Miscelare rifiuti senza valutarne compatibilità e autorizzazioni è:","Un comportamento da evitare e sottoporre a verifica preventiva","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","A","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Principi e responsabilità","AMB_010","In caso di dubbio sulla destinazione di un materiale, l'operatore deve:","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Isolarlo e chiedere al referente ambientale","D","Parte IV D.Lgs. 152/2006, artt. 177-188"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_011","Dopo la prevenzione, quale opzione viene prima del riciclaggio?","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","La preparazione per il riutilizzo","È sufficiente procedere come si è sempre fatto","C","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_012","Quale azione riduce i rifiuti alla fonte?","Si applica solo dopo un incidente","Acquistare materiali durevoli e nella quantità necessaria","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","B","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_013","Il riutilizzo riguarda prodotti o componenti che:","Non sono rifiuti e vengono impiegati di nuovo per la stessa finalità","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","A","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_014","Il riciclaggio consiste principalmente nel:","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Ritrattare rifiuti per ottenere prodotti, materiali o sostanze","D","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_015","Il recupero energetico si colloca, nella gerarchia, dopo:","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","Prevenzione, preparazione per il riutilizzo e riciclaggio","È sempre una scelta discrezionale del singolo operatore","C","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_016","Lo smaltimento dovrebbe essere:","Può essere deciso senza conoscere il rifiuto","L'opzione residuale quando non è praticabile il recupero","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","B","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_017","Per diminuire gli imballaggi, una buona scelta è:","Preferire forniture sfuse, ricaricabili o con imballaggio ridotto","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","A","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_018","La manutenzione preventiva delle attrezzature può:","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Allungarne la vita utile e prevenire rifiuti","D","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
