"argomento","codice","domanda","opzione_a","opzione_b","opzione_c","opzione_d","corretta","riferimento"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_001","Chi è il datore di lavoro ai fini del D.Lgs. 81/2008?","Il soggetto titolare del rapporto di lavoro o che ha la responsabilità dell'organizzazione ed esercita poteri decisionali e di spesa","Esclusivamente il proprietario dell'immobile","Sempre e solo il legale rappresentante","Chiunque impartisca occasionalmente istruzioni","A","Art. 2, c. 1, lett. b), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_002","Quale obbligo del datore di lavoro non può essere delegato?","La convocazione di ogni riunione","La valutazione di tutti i rischi con elaborazione del DVR","La tenuta del registro di formazione","La consegna dei DPI","B","Art. 17, c. 1, lett. a), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_003","Quale altro obbligo non è delegabile dal datore di lavoro?","L'acquisto delle attrezzature","La consegna delle procedure","La designazione del RSPP","La nomina degli addetti antincendio","C","Art. 17, c. 1, lett. b), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_004","Per essere valida, la delega di funzioni deve tra l'altro: ","Essere comunicata solo al consulente","Escludere ogni autonomia di spesa","Essere soltanto verbale","Essere accettata per iscritto dal delegato","D","Art. 16, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_005","La delega di funzioni esonera totalmente il datore di lavoro da ogni dovere?","No, resta l'obbligo di vigilanza sul corretto espletamento delle funzioni trasferite","No, ma solo nelle aziende con oltre 50 lavoratori","Sì, in ogni caso","Sì, se il delegato è un dirigente","A","Art. 16, c. 3, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_006","Il principio di effettività attribuisce gli obblighi di sicurezza: ","Solo a chi possiede una nomina scritta","Anche a chi esercita concretamente i poteri tipici di datore di lavoro, dirigente o preposto","Soltanto al consulente esterno","Unicamente al lavoratore più anziano","B","Art. 299, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_007","Il dirigente, secondo il D.Lgs. 81/2008, è la persona che: ","Svolge esclusivamente sorveglianza sanitaria","Rappresenta i lavoratori","Attua le direttive del datore di lavoro organizzando l'attività e vigilando su di essa","Esegue soltanto compiti manuali","C","Art. 2, c. 1, lett. d), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_008","Il preposto ha il compito principale di: ","Sostituire sempre il medico competente","Approvare il bilancio aziendale","Elaborare da solo il DVR","Sovrintendere all'attività lavorativa e garantire l'attuazione delle direttive ricevute","D","Artt. 2, c. 1, lett. e), e 19, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_009","Chi elegge o designa il RLS?","I lavoratori, secondo le modalità previste dalla legge e dalla contrattazione","Il medico competente","L'organo di vigilanza","Il datore di lavoro","A","Art. 47, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_010","Il RSPP è: ","Il soggetto che risponde automaticamente di ogni infortunio","La persona designata dal datore di lavoro per coordinare il servizio di prevenzione e protezione","Un rappresentante sindacale obbligatorio","Un funzionario dell'ASL","B","Art. 2, c. 1, lett. f), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_011","Quando il datore di lavoro può svolgere direttamente i compiti del servizio di prevenzione e protezione?","Soltanto nelle pubbliche amministrazioni","Sempre, senza condizioni","Nei casi previsti dalla normativa, salvo le esclusioni dell'art. 31, c. 6, e con la formazione richiesta","Solo se non vi sono lavoratori","C","Artt. 31, c. 6, e 34, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_012","Nelle aziende industriali soggette a normativa sui pericoli di incidenti rilevanti, il SPP deve essere: ","Eliminato se il datore di lavoro è formato","Costituito esclusivamente da RLS","Sempre affidato al commercialista","Interno nei casi previsti dall'art. 31, comma 6","D","Art. 31, c. 6, D.Lgs. 81/2008"
