argomento,codice,domanda,opzione_a,opzione_b,opzione_c,opzione_d,corretta,riferimento
"Formazione generale 4h","FG_001","Qual è l'obiettivo principale della normativa in materia di salute e sicurezza sul lavoro?","Punire i lavoratori che sbagliano","Garantire la tutela della salute e sicurezza dei lavoratori","Ridurre i costi per l'azienda","Evitare controlli degli organi di vigilanza","B","Art. 1 D.Lgs. 81/08"
"Formazione generale 4h","FG_002","Chi ha la responsabilità principale dell'organizzazione della sicurezza in azienda?","Il RSPP","Il medico competente","Il datore di lavoro","Il RLS","C","Art. 18 D.Lgs. 81/08"
"Formazione generale 4h","FG_003","Il lavoratore è obbligato a:","Occuparsi solo del proprio lavoro senza pensare alla sicurezza","Prendersi cura della propria sicurezza e di quella delle altre persone presenti sul luogo di lavoro","Segnalare solo gli infortuni gravi","Rifiutare qualsiasi indicazione del preposto","B","Art. 20 D.Lgs. 81/08"
"Formazione generale 4h","FG_004","Che cos'è il DVR (Documento di Valutazione dei Rischi)?","Un elenco dei dipendenti","Un documento che descrive solo gli infortuni avvenuti","Il documento che valuta tutti i rischi presenti e individua le misure di prevenzione e protezione","Una semplice procedura di emergenza","C","Art. 28 D.Lgs. 81/08"
"Formazione generale 4h","FG_005","Quando deve essere aggiornato il DVR?","Solo ogni 10 anni","Solo dopo un infortunio mortale","In occasione di cambiamenti significativi del processo produttivo, dell'organizzazione del lavoro o in caso di evoluzione della tecnica","Mai, è un documento statico","C","Art. 29 D.Lgs. 81/08"
"Formazione generale 4h","FG_006","Chi è il RSPP (Responsabile del Servizio di Prevenzione e Protezione)?","Il rappresentante dei lavoratori","La figura che supporta datore di lavoro nella valutazione dei rischi e nell’individuazione delle misure di prevenzione","Il rappresentante dell'organo di vigilanza","Il dirigente degli acquisti","B","Art. 2 e 31 D.Lgs. 81/08"
"Formazione generale 4h","FG_007","Chi è il RLS (Rappresentante dei Lavoratori per la Sicurezza)?","Un ispettore ASL","Un consulente esterno","Il lavoratore eletto o designato per rappresentare i lavoratori sugli aspetti della salute e sicurezza","Il responsabile del personale","C","Art. 47 D.Lgs. 81/08"
"Formazione generale 4h","FG_008","Che cosa si intende per “pericolo”?","La probabilità che si verifichi un danno","La gravità del danno","Una sorgente o situazione con potenziale di causare danni","Un evento imprevedibile","C","Art. 2 D.Lgs. 81/08"
"Formazione generale 4h","FG_009","Che cosa si intende per “rischio”?","Un evento impossibile da prevenire","La combinazione tra probabilità e gravità di un danno","Solo la gravità del danno","Solo la probabilità del danno","B","Art. 2 D.Lgs. 81/08"
"Formazione generale 4h","FG_010","Un infortunio sul lavoro è:","Un evento, avvenuto in occasione di lavoro, che causa una lesione alla persona","Solo un incidente mortale","Solo un incidente stradale","Un evento che non viene mai denunciato","A","Art. 2 D.Lgs. 81/08"
"Formazione generale 4h","FG_011","Il “mancato infortunio” (near miss) è:","Un evento senza importanza","Un evento che non ha causato danno ma avrebbe potuto farlo","Un infortunio mortale","Un rischio irrilevante","B","Buone prassi prevenzione"
"Formazione generale 4h","FG_012","Perché è importante segnalare un near miss?","Per punire chi ha sbagliato","Per aggiornare solo il DVR","Per individuare possibili cause di incidente e migliorare le misure di prevenzione","Non è importante, non essendoci stato alcun danno","C","Buone prassi prevenzione"
"Formazione generale 4h","FG_013","Il lavoratore deve utilizzare i DPI:","Solo quando lo ritiene necessario","Solo quando c'è il preposto presente","Conformemente alle istruzioni e formazione ricevute","Solo se nuovi e non usurati","C","Art. 20 e 77 D.Lgs. 81/08"
"Formazione generale 4h","FG_014","Chi fornisce i DPI ai lavoratori?","Il lavoratore stesso","Il RLS","Il datore di lavoro","Il medico competente","C","Art. 18 e 77 D.Lgs. 81/08"
"Formazione generale 4h","FG_015","Qual è il comportamento corretto rispetto a un DPI danneggiato?","Continuare ad usarlo finché funziona","Ripararlo autonomamente","Segnalare tempestivamente al preposto o al datore di lavoro la necessità di sostituzione","Buttarlo senza avvisare nessuno","C","Art. 20 D.Lgs. 81/08"
