"argomento","codice","domanda","opzione_a","opzione_b","opzione_c","opzione_d","corretta","riferimento"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_001","Nella formazione specifica rischio basso, l’obiettivo principale è:","Approfondire solo gli aspetti amministrativi del rapporto di lavoro","Riconoscere i rischi presenti nella mansione e applicare misure di prevenzione","Sostituire la valutazione dei rischi aziendale","Evitare ogni obbligo di aggiornamento","B","Art. 37 D.Lgs. 81/08; Accordo Stato-Regioni 17/04/2025"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_002","Un rischio tipico di molte attività d’ufficio è:","Esposizione ordinaria a radiazioni ionizzanti","Caduta da grandi altezze durante il lavoro ordinario","Affaticamento visivo e posturale da uso del videoterminale","Uso continuativo di gru a torre","C","Titolo VII D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_003","Il comportamento corretto davanti a una situazione pericolosa non gestibile direttamente è:","Ignorarla se non causa subito un infortunio","Segnalarla secondo le procedure aziendali","Rimuovere dispositivi di sicurezza per velocizzare il lavoro","Intervenire sempre senza informare nessuno","B","Art. 20 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_004","Per prevenzione si intende principalmente:","L’insieme delle misure per evitare o ridurre i rischi professionali","La sola consegna dei DPI","La sola visita medica periodica","La sanzione applicata dopo un incidente","A","Art. 2 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_005","In un’attività a rischio basso, il lavoratore deve comunque:","Collaborare all’attuazione delle misure di sicurezza","Considerare i rischi sempre assenti","Usare attrezzature elettriche danneggiate se funzionano","Decidere autonomamente di eliminare le pause previste","A","Art. 20 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_006","La formazione specifica deve essere collegata:","Solo al titolo di studio del lavoratore","Ai rischi effettivi della mansione e dell’ambiente di lavoro","Al numero di dipendenti dell’azienda, indipendentemente dai rischi","Solo alla presenza di macchine industriali","B","Accordo Stato-Regioni 17/04/2025"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_007","Un esempio di misura di protezione collettiva in ufficio è:","Una corretta organizzazione degli spazi e dei percorsi","Un paio di guanti monouso per ogni lavoratore VDT","La scelta personale di non segnalare anomalie","Il divieto assoluto di usare il mouse","A","Principi generali di prevenzione; Art. 15 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_008","Il rischio residuo è:","Il rischio che rimane dopo l’applicazione delle misure di prevenzione e protezione","Un rischio che non deve essere mai valutato","Un rischio presente solo nei cantieri","Il rischio dovuto esclusivamente al comportamento del datore di lavoro","A","Art. 28 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_009","In caso di dubbio su una procedura di sicurezza, il lavoratore deve:","Improvvisare una soluzione rapida","Chiedere indicazioni al preposto o al referente aziendale","Copiare il comportamento di un collega anche se scorretto","Sospendere definitivamente l’attività senza avvisare","B","Art. 20 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_010","La segnaletica di sicurezza serve a:","Sostituire tutte le istruzioni operative","Fornire indicazioni immediate su divieti, obblighi, pericoli e vie di esodo","Eliminare automaticamente ogni rischio","Essere usata solo dai manutentori","B","Titolo V D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_011","Ai sensi del D.Lgs. 81/08, il lavoratore videoterminalista è chi utilizza attrezzature munite di VDT in modo sistematico o abituale per almeno:","5 ore settimanali","10 ore settimanali","20 ore settimanali dedotte le interruzioni","40 ore settimanali senza pause","C","Art. 173 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_012","Il posto di lavoro al videoterminale comprende:","Solo lo schermo","Schermo, tastiera, mouse, piano di lavoro, sedile e ambiente circostante","Solo la sedia","Solo il software aziendale","B","Art. 173 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_013","Tra i rischi da valutare nel lavoro al VDT rientrano:","Vista, postura, affaticamento fisico o mentale ed ergonomia","Solo il rumore esterno","Solo la caduta dall’alto","Solo la movimentazione con carrelli elevatori","A","Art. 174 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_014","La pausa o il cambiamento di attività per il videoterminalista ha lo scopo di:","Aumentare la velocità di digitazione","Ridurre affaticamento visivo, posturale e mentale","Evitare la formazione obbligatoria","Sostituire la sorveglianza sanitaria","B","Art. 175 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_015","In assenza di diversa disposizione contrattuale, una misura comunemente prevista per il VDT è:","15 minuti ogni 120 minuti di applicazione continuativa","1 minuto ogni 8 ore","30 minuti solo a fine giornata","Nessuna pausa se il lavoratore è esperto","A","Art. 175 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_016","Lo schermo del videoterminale deve essere preferibilmente:","Orientabile e inclinabile in base alle esigenze del lavoratore","Fissato in modo non regolabile","Posizionato sempre controluce","Molto più alto degli occhi","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_017","Per ridurre l’affaticamento visivo è opportuno:","Evitare riflessi e abbagliamenti sullo schermo","Aumentare al massimo la luminosità in ogni condizione","Lavorare sempre al buio","Tenere lo schermo sporco per ridurre la luce","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_018","La distanza consigliabile tra occhi e schermo è in genere:","Molto ravvicinata, circa 10 cm","Indicativamente 50-70 cm, adattata alla persona e allo schermo","Oltre 2 metri in ogni caso","Non ha alcuna importanza","B","Buone prassi ergonomiche; Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_019","Il bordo superiore dello schermo dovrebbe essere:","Circa all’altezza degli occhi o leggermente sotto","Molto sopra la testa","All’altezza delle ginocchia","Sempre inclinato verso il soffitto","A","Buone prassi ergonomiche; Allegato XXXIV D.Lgs. 81/08"
