argomento,codice,domanda,opzione_a,opzione_b,opzione_c,opzione_d,corretta,riferimento
"HACCP - Somministrazione e preparazioni semplici","HACCP_001","Qual è lo scopo principale del sistema HACCP?","Controllare soltanto il costo delle materie prime","Migliorare esclusivamente la presentazione dei piatti","Stabilire i turni del personale","Prevenire e controllare i pericoli che possono rendere non sicuri gli alimenti","D","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_002","Il piano di autocontrollo deve essere:","Usato soltanto durante le ispezioni","Compilato una sola volta e mai più rivisto","Uguale per qualsiasi impresa alimentare","Adatto alle attività realmente svolte nel locale","D","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_003","Chi deve applicare quotidianamente le procedure igieniche previste?","Soltanto chi effettua le pulizie","Esclusivamente il consulente HACCP","Soltanto il titolare","Tutto il personale coinvolto nelle attività alimentari","D","Reg. CE 852/2004, All. II, Cap. XII; DGR Toscana 540/2024"
"HACCP - Somministrazione e preparazioni semplici","HACCP_004","Un pericolo biologico può essere rappresentato da:","Un frammento di vetro","Batteri, virus o muffe","Un cartellino del prezzo","Un residuo di detergente","B","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_005","Un pericolo chimico può essere rappresentato da:","Residui di detergente su una superficie di lavoro","Un capello nell’alimento","Un cucchiaino caduto a terra","Un pezzo di plastica","A","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_006","Un pericolo fisico può essere rappresentato da:","Un frammento di vetro o metallo","La crescita di batteri","Un allergene dichiarato correttamente","La temperatura registrata sul frigorifero","A","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_007","Che cosa significa monitorare un punto di controllo?","Controllarlo soltanto dopo un reclamo","Firmare il registro senza eseguire la verifica","Verificare con regolarità che il parametro previsto sia rispettato","Cambiare ogni giorno il parametro stabilito","C","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_008","Che cosa si deve fare quando un controllo evidenzia un valore non conforme?","Attendere la verifica dell’anno successivo","Applicare l’azione correttiva prevista e registrare l’accaduto","Cancellare la registrazione","Ignorare il dato se il locale è affollato","B","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_009","Perché è utile compilare correttamente i registri HACCP?","Per evitare la formazione del personale","Per aumentare il numero di documenti senza utilità pratica","Per sostituire la pulizia dei locali","Per dimostrare i controlli svolti e individuare eventuali problemi","D","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_010","La rintracciabilità permette di:","Utilizzare prodotti senza etichetta","Conoscere soltanto il prezzo di vendita","Evitare di conservare fatture o documenti","Ricostruire la provenienza e la destinazione degli alimenti","D","Reg. CE 178/2002, artt. 14, 18 e 19"
"HACCP - Somministrazione e preparazioni semplici","HACCP_011","Se un alimento può essere pericoloso per il consumatore, occorre:","Bloccarne l’uso e avvisare subito il responsabile","Cambiarne soltanto il contenitore","Servirlo rapidamente per non sprecarlo","Mescolarlo con altri alimenti","A","Reg. CE 178/2002, artt. 14, 18 e 19"
"HACCP - Somministrazione e preparazioni semplici","HACCP_012","La cultura della sicurezza alimentare richiede che:","Le regole igieniche siano comprese e applicate ogni giorno","La sicurezza dipenda esclusivamente dal responsabile","Le regole siano applicate solo in presenza di controlli","Gli errori non vengano mai segnalati","A","Reg. UE 2021/382 - cultura della sicurezza alimentare"
"HACCP - Somministrazione e preparazioni semplici","HACCP_013","La formazione HACCP serve principalmente a:","Imparare soltanto a compilare moduli","Sostituire completamente il piano di autocontrollo","Far comprendere e applicare comportamenti alimentari sicuri","Evitare ogni controllo dell’autorità competente","C","Reg. CE 852/2004, All. II, Cap. XII; DGR Toscana 540/2024"
"HACCP - Somministrazione e preparazioni semplici","HACCP_014","Una procedura HACCP deve essere aggiornata quando:","Cambiano attività, attrezzature, prodotti o modalità di lavoro","Passano esattamente dieci anni","Viene cambiato il logo del locale","Lo decide un cliente","A","Reg. CE 852/2004, art. 5"
"HACCP - Somministrazione e preparazioni semplici","HACCP_015","Durante il lavoro, un errore o una non conformità deve essere:","Annotato soltanto a fine anno","Nascosto per evitare problemi","Segnalato tempestivamente al responsabile","Risolto senza seguire alcuna procedura","C","Reg. UE 2021/382 - cultura della sicurezza alimentare"
"HACCP - Somministrazione e preparazioni semplici","HACCP_016","Un addetto con vomito o diarrea deve:","Continuare a lavorare indossando due paia di guanti","Informare subito il responsabile e non manipolare alimenti","Occuparsi soltanto dei panini freddi","Limitarsi a bere acqua","B","Reg. CE 852/2004, All. II, Cap. VIII"
"HACCP - Somministrazione e preparazioni semplici","HACCP_017","In caso di ferita a una mano, prima di lavorare occorre:","Lasciarla scoperta per farla asciugare","Proteggerla con medicazione impermeabile e, se previsto, guanto idoneo","Coprirla con un tovagliolo di carta","Immergerla nel detergente","B","Reg. CE 852/2004, All. II, Cap. VIII"
